sdnn,rmssd,nn50,pnn50,lf_power,hf_power,lf_hf_ratio,HR
2541811.1300194827,1610731.5754701635,298,99.66555183946488,97176035651.06528,188790839244.7672,0.514728553778378,77
691010.0360607408,429545.7450702081,298,99.66555183946488,55293095198.131325,27566813674.69523,2.005784776239383,75
562107.3752784142,465675.9672399624,296,98.99665551839465,170304841925.51312,337010686739.34686,0.5053395890001301,73
2952935.9964517476,1572708.774322072,298,99.66555183946488,542675177563.09937,331298628651.8045,1.6380242193318948,73
1477679.2616094681,917921.0028981378,298,99.66555183946488,568817269004.6151,1807025082192.9622,0.31478105899576786,81
708373.8016384547,459432.20042636455,298,99.66555183946488,13749230376.88912,85639262420.8728,0.16054821104505484,82
414273.66687625094,239516.88510804618,297,99.33110367892976,328685276.03031737,8510262450.907478,0.03862222556899741,72
836735.5403624478,544613.4255079947,297,99.33110367892976,86022016250.04507,613125179093.1855,0.14030090295308367,80
623676.0138006731,460720.2559430695,298,99.66555183946488,29918019859.396584,109759039469.53888,0.2725790969380672,79
560315.1859632522,327128.53070843517,298,99.66555183946488,244387223068.82776,179586530916.45703,1.3608326962032344,72
1507548.8833264844,922049.3368232017,298,99.66555183946488,89793455429.51268,697812158190.5132,0.12867854819605726,76
1673418.5113519502,1071627.9959080694,298,99.66555183946488,212841418598.02405,2181567264146.0974,0.09756353704790936,74
1206465.3347568351,1117897.4731353817,298,99.66555183946488,102420019614.22916,180127020645.41235,0.568598865662955,79
2671040.103664799,2035548.2729962242,298,99.66555183946488,259704116123.48215,2738612439633.575,0.09483054716505648,76
2495835.257194757,2004755.8456161101,298,99.66555183946488,183095240655.0541,2483525831831.681,0.07372391231381532,72
829038.4427096171,602616.813093826,298,99.66555183946488,109005792291.2926,308451682972.90656,0.35339665272913207,74
291182.4985804693,215118.7555610144,298,99.66555183946488,12726733872.582464,140457750934.80444,0.0906089823301369,72
3748853.212699833,2637355.11357015,298,99.66555183946488,27934697620.174942,3447565473030.5537,0.008102731576441731,72
1783971.908457814,1230369.7646487786,298,99.66555183946488,114827598652.56935,2189547305831.8901,0.05244353403405554,78
1313462.8051688506,943209.6383463955,298,99.66555183946488,4602657677.779222,1859348549261.6484,0.0024754141334108375,74
39467.88777420311,27863.8645571266,298,99.66555183946488,4219993.727607451,52974059.58386635,0.07966151283774148,76
1624490.3596648767,1182890.1029539607,298,99.66555183946488,58332635060.8071,26013677249.584663,2.242383285574839,76
1097844.1816110287,884670.1353915851,298,99.66555183946488,190085966607.50256,590136314753.0641,0.32210518460813903,74
474697.2911766081,524870.2985752237,297,99.33110367892976,45251070435.901825,2084201065.0192413,21.711470738301376,62
536281.4960213458,338936.25013844616,298,99.66555183946488,48487294735.86923,47638767666.66734,1.01781169225743,60
169558.0693975971,75859.025709463,297,99.33110367892976,54117016075.53022,29939781284.135685,1.807528771234058,56
1835901.1670790093,1017334.5880066587,298,99.66555183946488,3259564443838.3984,1458884655848.1511,2.2342852334294974,57
3030154.7191008893,1887190.5728555005,298,99.66555183946488,2165170931364.1501,654589277583.9696,3.307678578780884,56
6475359.277816205,4238966.4144476205,298,99.66555183946488,5053154225823.919,1662792601612.0947,3.038956404379496,54
1127767.009608468,668547.9513863425,298,99.66555183946488,1113834179545.498,486974797368.474,2.2872522059960017,55
8552483.36679671,5047041.056792209,298,99.66555183946488,3965916610132.68,2579127849081.377,1.537696788294246,55
1210137.262893357,663829.9441749259,297,99.33110367892976,685092521858.6273,701297017511.4597,0.976893534054467,54
1111175.189677979,559349.8612677698,298,99.66555183946488,1904916366592.5295,412074252540.06305,4.622750280684737,53
3487638.661479804,2147882.755922287,298,99.66555183946488,4285767499690.2837,2758482498112.471,1.5536685487846589,56
1052988.6620264198,554893.9061299178,298,99.66555183946488,1345560834852.7158,563411508770.8094,2.3882381064389606,54
1716855.4112060782,991537.128408837,297,99.33110367892976,2001258551466.5725,457537782171.59125,4.3739744113985255,53
56091.09861367488,46015.70673474287,292,97.65886287625418,158751810.4689518,959233.3343388014,165.4986381164279,54
455699.43885766325,288042.3824633088,298,99.66555183946488,8527047004.66677,37140127520.2813,0.22959121505466992,57
509401.9039099325,219929.21358123785,298,99.66555183946488,3489944850.7970605,158224303175.98917,0.022056945619253428,58
529140.2274798509,326800.44700808846,298,99.66555183946488,434130102098.9428,444748604209.7859,0.9761247095317822,64
736277.3518795345,389800.177177392,298,99.66555183946488,162560778672.5821,262906745055.43356,0.6183210652823166,67
2090212.1223633352,1010159.8806964947,297,99.33110367892976,132428232185.19649,612939038348.9839,0.21605449139266106,58
898323.4260813735,463908.6384487732,298,99.66555183946488,132449915502.92664,218176868019.07785,0.6070758862087292,62
1359291.511480167,705935.4043190151,298,99.66555183946488,103544256359.16727,1020937508541.2966,0.10142075836464277,60
1370983.2192817086,644359.2161215417,297,99.33110367892976,105913286649.32593,68887364869.8404,1.5374849487920514,58
1829426.749077999,841339.7111151658,297,99.33110367892976,57526400333.77892,37578346755.51965,1.5308390416438218,57
2061696.3832739096,1027125.8286042463,298,99.66555183946488,45103426964.60138,329420178134.34924,0.13691762059034102,58
734437.5259067663,325259.16821227793,298,99.66555183946488,26024771708.97976,5004873843.629427,5.199885655880419,57
1847718.536997341,810923.4565996054,298,99.66555183946488,799064712441.3285,463680593342.605,1.7233085100262422,57
957628.2537464161,480798.7229244467,297,99.33110367892976,9445597972.398874,8845172062.161665,1.0678817671400358,54
1582974.2538483127,706621.8456911867,298,99.66555183946488,26133140305.775238,161466550982.31125,0.16184863147685702,54
897297.40929054,416658.15624940326,298,99.66555183946488,22626324260.7321,58249196280.154045,0.38844011086280117,55
3665261.4206471173,1673534.4445721244,298,99.66555183946488,858558524230.6635,422924354737.0287,2.0300522176466025,54
227312.75110241186,254652.69658344332,296,98.99665551839465,1176670191.6316378,4225450463.660793,0.27847213019087413,61
632823.8808365979,617094.2956803924,297,99.33110367892976,397733471041.5787,1488646693556.0625,0.2671778822760674,60
